t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.284000,0.390390057,-0.000167780,0.552632764,-0.016607588
0.285000,0.388824496,-0.000109307,0.554127046,-0.016553437
0.286000,0.387249182,-0.000050351,0.555607574,-0.016498355
0.287000,0.385664157,0.000009086,0.557074313,-0.016442349
0.288000,0.384069465,0.000069003,0.558527224,-0.016385427
0.289000,0.382465152,0.000129397,0.559966274,-0.016327597
0.290000,0.380851263,0.000190268,0.561391427,-0.016268867
0.291000,0.379227845,0.000251612,0.562802651,-0.016209246
0.292000,0.377594947,0.000313428,0.564199914,-0.016148741
0.293000,0.375952619,0.000375713,0.565583187,-0.016087361
0.294000,0.374300911,0.000438467,0.566952440,-0.016025115
0.295000,0.372639874,0.000501685,0.568307647,-0.015962011
0.296000,0.370969562,0.000565367,0.569648780,-0.015898058
0.297000,0.369290029,0.000629510,0.570975815,-0.015833264
0.298000,0.367601330,0.000694111,0.572288729,-0.015767639
0.299000,0.365903521,0.000759169,0.573587498,-0.015701192
0.300000,0.364196660,0.000824680,0.574872101,-0.015633931
0.301000,0.362480805,0.000890642,0.576142519,-0.015565865
0.302000,0.360756015,0.000957052,0.577398734,-0.015497005
0.303000,0.359022352,0.001023909,0.578640728,-0.015427358
0.304000,0.357279877,0.001091208,0.579868485,-0.015356935
0.305000,0.355528653,0.001158948,0.581081990,-0.015285746
0.306000,0.353768745,0.001227126,0.582281230,-0.015213798
0.307000,0.352000217,0.001295738,0.583466193,-0.015141103
0.308000,0.350223136,0.001364781,0.584636868,-0.015067669
0.309000,0.348437568,0.001434253,0.585793245,-0.014993507
0.310000,0.346643583,0.001504151,0.586935317,-0.014918627
0.311000,0.344841249,0.001574470,0.588063076,-0.014843037
0.312000,0.343030638,0.001645209,0.589176515,-0.014766748
0.313000,0.341211821,0.001716364,0.590275632,-0.014689771
0.314000,0.339384871,0.001787930,0.591360422,-0.014612115
0.315000,0.337549860,0.001859906,0.592430884,-0.014533790
0.316000,0.335706865,0.001932287,0.593487017,-0.014454806
0.317000,0.333855961,0.002005070,0.594528821,-0.014375174
0.318000,0.331997225,0.002078250,0.595556297,-0.014294904
0.319000,0.330130735,0.002151825,0.596569450,-0.014214006
0.320000,0.328256570,0.002225791,0.597568283,-0.014132491
0.321000,0.326374809,0.002300143,0.598552802,-0.014050369
0.322000,0.324485534,0.002374878,0.599523013,-0.013967651
0.323000,0.322588827,0.002449992,0.600478925,-0.013884346
0.324000,0.320684771,0.002525480,0.601420546,-0.013800466
0.325000,0.318773450,0.002601338,0.602347887,-0.013716021
0.326000,0.316854950,0.002677563,0.603260959,-0.013631023
0.327000,0.314929355,0.002754150,0.604159776,-0.013545480
0.328000,0.312996754,0.002831094,0.605044350,-0.013459405
0.329000,0.311057234,0.002908392,0.605914699,-0.013372808
0.330000,0.309110884,0.002986037,0.606770837,-0.013285699
0.331000,0.307157795,0.003064027,0.607612783,-0.013198090
0.332000,0.305198056,0.003142356,0.608440554,-0.013109991
0.333000,0.303231762,0.003221019,0.609254172,-0.013021413
0.334000,0.301259003,0.003300012,0.610053658,-0.012932367
0.335000,0.299279874,0.003379330,0.610839033,-0.012842864
0.336000,0.297294469,0.003458967,0.611610321,-0.012752914
0.337000,0.295302886,0.003538919,0.612367548,-0.012662529
0.338000,0.293305219,0.003619181,0.613110738,-0.012571720
0.339000,0.291301566,0.003699747,0.613839918,-0.012480497
0.340000,0.289292027,0.003780612,0.614555117,-0.012388872
0.341000,0.287276699,0.003861771,0.615256364,-0.012296855
0.342000,0.285255685,0.003943218,0.615943690,-0.012204457
