t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.359000,0.651414940,-0.013522832,0.900454917,-0.004098509
0.360000,0.650240514,-0.013468040,0.902245666,-0.004004917
0.361000,0.649059200,-0.013412897,0.904025729,-0.003910805
0.362000,0.647870999,-0.013357405,0.905795065,-0.003816177
0.363000,0.646675918,-0.013301565,0.907553633,-0.003721040
0.364000,0.645473962,-0.013245381,0.909301393,-0.003625397
0.365000,0.644265135,-0.013188853,0.911038304,-0.003529256
0.366000,0.643049445,-0.013131982,0.912764326,-0.003432620
0.367000,0.641826898,-0.013074772,0.914479422,-0.003335496
0.368000,0.640597501,-0.013017223,0.916183553,-0.003237890
0.369000,0.639361261,-0.012959338,0.917876681,-0.003139806
0.370000,0.638118188,-0.012901117,0.919558768,-0.003041250
0.371000,0.636868289,-0.012842564,0.921229780,-0.002942228
0.372000,0.635611574,-0.012783679,0.922889679,-0.002842745
0.373000,0.634348053,-0.012724463,0.924538431,-0.002742808
0.374000,0.633077736,-0.012664920,0.926176000,-0.002642422
0.375000,0.631800634,-0.012605050,0.927802353,-0.002541593
0.376000,0.630516758,-0.012544856,0.929417456,-0.002440327
0.377000,0.629226120,-0.012484338,0.931021277,-0.002338629
0.378000,0.627928731,-0.012423499,0.932613782,-0.002236506
0.379000,0.626624606,-0.012362340,0.934194940,-0.002133964
0.380000,0.625313757,-0.012300862,0.935764720,-0.002031008
0.381000,0.623996199,-0.012239069,0.937323092,-0.001927644
0.382000,0.622671945,-0.012176960,0.938870025,-0.001823879
0.383000,0.621341010,-0.012114538,0.940405490,-0.001719719
0.384000,0.620003410,-0.012051804,0.941929458,-0.001615170
0.385000,0.618659162,-0.011988761,0.943441902,-0.001510237
0.386000,0.617308280,-0.011925409,0.944942793,-0.001404928
0.387000,0.615950783,-0.011861750,0.946432105,-0.001299249
0.388000,0.614586687,-0.011797787,0.947909812,-0.001193205
0.389000,0.613216011,-0.011733520,0.949375887,-0.001086803
0.390000,0.611838774,-0.011668951,0.950830306,-0.000980050
0.391000,0.610454993,-0.011604082,0.952273044,-0.000872951
0.392000,0.609064690,-0.011538914,0.953704076,-0.000765514
0.393000,0.607667883,-0.011473450,0.955123381,-0.000657744
0.394000,0.606264593,-0.011407691,0.956530935,-0.000549648
0.395000,0.604854843,-0.011341637,0.957926715,-0.000441232
0.396000,0.603438652,-0.011275292,0.959310701,-0.000332504
0.397000,0.602016043,-0.011208657,0.960682872,-0.000223469
0.398000,0.600587039,-0.011141733,0.962043206,-0.000114134
0.399000,0.599151663,-0.011074523,0.963391686,-0.000004506
0.400000,0.597709938,-0.011007027,0.964728290,0.000105409
0.401000,0.596261890,-0.010939247,0.966053002,0.000215604
0.402000,0.594807541,-0.010871186,0.967365803,0.000326072
0.403000,0.593346918,-0.010802844,0.968666676,0.000436807
0.404000,0.591880047,-0.010734224,0.969955604,0.000547802
0.405000,0.590406953,-0.010665327,0.971232571,0.000659051
0.406000,0.588927663,-0.010596155,0.972497561,0.000770546
0.407000,0.587442204,-0.010526709,0.973750561,0.000882281
0.408000,0.585950604,-0.010456992,0.974991555,0.000994249
0.409000,0.584452892,-0.010387005,0.976220530,0.001106443
0.410000,0.582949096,-0.010316750,0.977437473,0.001218856
0.411000,0.581439245,-0.010246229,0.978642372,0.001331482
0.412000,0.579923369,-0.010175442,0.979835214,0.001444314
0.413000,0.578401498,-0.010104394,0.981015989,0.001557345
0.414000,0.576873664,-0.010033084,0.982184686,0.001670567
