t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.332000,0.089862100,0.012756478,0.495129096,-0.018178859
0.333000,0.087445304,0.012850632,0.495426118,-0.018078353
0.334000,0.085025520,0.012944847,0.495707478,-0.017977469
0.335000,0.082602926,0.013039114,0.495973265,-0.017876224
0.336000,0.080177695,0.013133422,0.496223570,-0.017774631
0.337000,0.077750006,0.013227762,0.496458484,-0.017672706
0.338000,0.075320037,0.013322122,0.496678101,-0.017570464
0.339000,0.072887965,0.013416494,0.496882516,-0.017467919
0.340000,0.070453972,0.013510866,0.497071825,-0.017365086
0.341000,0.068018237,0.013605227,0.497246126,-0.017261979
0.342000,0.065580941,0.013699569,0.497405516,-0.017158614
0.343000,0.063142268,0.013793879,0.497550096,-0.017055004
0.344000,0.060702400,0.013888147,0.497679968,-0.016951165
0.345000,0.058261520,0.013982363,0.497795233,-0.016847110
0.346000,0.055819814,0.014076514,0.497895995,-0.016742853
0.347000,0.053377467,0.014170592,0.497982360,-0.016638410
0.348000,0.050934664,0.014264583,0.498054433,-0.016533793
0.349000,0.048491593,0.014358478,0.498112322,-0.016429018
0.350000,0.046048441,0.014452265,0.498156136,-0.016324097
0.351000,0.043605396,0.014545933,0.498185983,-0.016219045
0.352000,0.041162647,0.014639470,0.498201975,-0.016113876
0.353000,0.038720382,0.014732865,0.498204223,-0.016008603
0.354000,0.036278794,0.014826107,0.498192840,-0.015903239
0.355000,0.033838070,0.014919185,0.498167941,-0.015797799
0.356000,0.031398404,0.015012085,0.498129640,-0.015692295
0.357000,0.028959986,0.015104798,0.498078054,-0.015586741
0.358000,0.026523010,0.015197312,0.498013299,-0.015481150
0.359000,0.024087666,0.015289614,0.497935495,-0.015375534
0.360000,0.021654150,0.015381693,0.497844758,-0.015269907
0.361000,0.019222654,0.015473538,0.497741211,-0.015164282
0.362000,0.016793373,0.015565136,0.497624973,-0.015058671
0.363000,0.014366501,0.015656476,0.497496167,-0.014953087
0.364000,0.011942233,0.015747545,0.497354916,-0.014847542
0.365000,0.009520764,0.015838333,0.497201342,-0.014742048
0.366000,0.007102291,0.015928826,0.497035571,-0.014636618
0.367000,0.004687009,0.016019014,0.496857728,-0.014531264
0.368000,0.002275115,0.016108884,0.496667940,-0.014425998
0.369000,-0.000133195,0.016198424,0.496466332,-0.014320830
0.370000,-0.002537724,0.016287623,0.496253034,-0.014215774
0.371000,-0.004938274,0.016376468,0.496028173,-0.014110841
0.372000,-0.007334649,0.016464947,0.495791879,-0.014006042
0.373000,-0.009726649,0.016553049,0.495544281,-0.013901388
0.374000,-0.012114079,0.016640762,0.495285511,-0.013796890
0.375000,-0.014496738,0.016728073,0.495015700,-0.013692560
0.376000,-0.016874430,0.016814971,0.494734980,-0.013588408
0.377000,-0.019246957,0.016901444,0.494443484,-0.013484445
0.378000,-0.021614118,0.016987479,0.494141345,-0.013380681
