t,abduct_L.q,abduct_L.w,abduct_R.q,abduct_R.w,hip_L.q,hip_L.w,hip_R.q,hip_R.w
9.816186369117e-03,2.300418716403e-04,4.690000191303e-02,-2.612343697938e-04,-5.325415611526e-02,-1.261980703510e-03,-2.570727064373e-01,-1.263264400753e-03,-2.573327133993e-01
9.961149362843e-03,2.368909691683e-04,4.759442527858e-02,-2.690113808437e-04,-5.404234556457e-02,-1.299521682802e-03,-2.608660905899e-01,-1.300843343004e-03,-2.611298443343e-01
1.010611235657e-02,2.438407381622e-04,4.828892833194e-02,-2.769026557461e-04,-5.483061158934e-02,-1.337612552845e-03,-2.646593426774e-01,-1.338972718856e-03,-2.649268391242e-01
1.028018208895e-02,2.523189710732e-04,4.912298579157e-02,-2.865293965499e-04,-5.577725426140e-02,-1.384078152537e-03,-2.692140545818e-01,-1.385485272258e-03,-2.694860397415e-01
1.045425182133e-02,2.609423984602e-04,4.995716179234e-02,-2.963209291041e-04,-5.672401084019e-02,-1.431336572606e-03,-2.737685699487e-01,-1.432791426857e-03,-2.740450377515e-01
1.062832155370e-02,2.697110411303e-04,5.079145831881e-02,-3.062772734023e-04,-5.767088323009e-02,-1.479387778551e-03,-2.783228854415e-01,-1.480891147087e-03,-2.786038297157e-01
1.080239128608e-02,2.786249202361e-04,5.162587735431e-02,-3.163984497691e-04,-5.861787333417e-02,-1.528231735287e-03,-2.828769977232e-01,-1.529784396781e-03,-2.831624121953e-01
1.097646101846e-02,2.876840572751e-04,5.246042088109e-02,-3.266844788608e-04,-5.956498305431e-02,-1.577868407153e-03,-2.874309034561e-01,-1.579471139176e-03,-2.877207817510e-01
1.115053075084e-02,2.968884740900e-04,5.329509088018e-02,-3.371353816641e-04,-6.051221429110e-02,-1.628297757904e-03,-2.919845993023e-01,-1.629951336908e-03,-2.922789349432e-01
1.132460048322e-02,3.062381928682e-04,5.412988933142e-02,-3.477511794968e-04,-6.145956894387e-02,-1.679519750713e-03,-2.965380819234e-01,-1.681224952016e-03,-2.968368683317e-01
1.149867021560e-02,3.157332361413e-04,5.496481821346e-02,-3.585318940071e-04,-6.240704891061e-02,-1.731534348176e-03,-3.010913479804e-01,-1.733291945940e-03,-3.013945784760e-01
1.167273994798e-02,3.253736267856e-04,5.579987950368e-02,-3.694775471734e-04,-6.335465608801e-02,-1.784341512303e-03,-3.056443941341e-01,-1.786152279518e-03,-3.059520619353e-01
1.184680968035e-02,3.351593880213e-04,5.663507517823e-02,-3.805881613042e-04,-6.430239237139e-02,-1.837941204526e-03,-3.101972170444e-01,-1.839805912994e-03,-3.105093152681e-01
1.202087941273e-02,3.450905434126e-04,5.747040721195e-02,-3.918637590378e-04,-6.525025965470e-02,-1.892333385693e-03,-3.147498133711e-01,-1.894252806009e-03,-3.150663350328e-01
1.219494914511e-02,3.551671168672e-04,5.830587757843e-02,-4.033043633419e-04,-6.619825983050e-02,-1.947518016074e-03,-3.193021797732e-01,-1.949492917607e-03,-3.196231177871e-01
1.236901887749e-02,3.653891326364e-04,5.914148824991e-02,-4.149099975139e-04,-6.714639478995e-02,-2.003495055353e-03,-3.238543129096e-01,-2.005526206232e-03,-3.241796600882e-01
1.254308860987e-02,3.757566153145e-04,5.997724119732e-02,-4.266806851798e-04,-6.809466642277e-02,-2.060264462636e-03,-3.284062094382e-01,-2.062352629728e-03,-3.287359584932e-01
1.271715834225e-02,3.862695898388e-04,6.081313839023e-02,-4.386164502948e-04,-6.904307661722e-02,-2.117826196446e-03,-3.329578660168e-01,-2.119972145341e-03,-3.332920095583e-01
1.289122807463e-02,3.969280814895e-04,6.164918179685e-02,-4.507173171424e-04,-6.999162726011e-02,-2.176180214723e-03,-3.375092793023e-01,-2.178384709717e-03,-3.378478098396e-01
